block,wf,component,explained_variance_ratio,cumulative_variance,k80,k90,k95,k_primary
liquidity,WF1,1,0.3688769665393648,0.3688769665393648,4,5,6,5
liquidity,WF1,2,0.33468307801371006,0.7035600445530749,4,5,6,5
liquidity,WF1,3,0.08906576082028256,0.7926258053733575,4,5,6,5
liquidity,WF1,4,0.08684189456786415,0.8794676999412216,4,5,6,5
liquidity,WF1,5,0.0539353991335794,0.933403099074801,4,5,6,5
liquidity,WF1,6,0.03340560029730859,0.9668086993721096,4,5,6,5
liquidity,WF1,7,0.026008087667909605,0.9928167870400192,4,5,6,5
liquidity,WF1,8,0.00410709269663444,0.9969238797366536,4,5,6,5
liquidity,WF2,1,0.36888174476242586,0.36888174476242586,4,5,6,5
liquidity,WF2,2,0.3410317427549523,0.7099134875173782,4,5,6,5
liquidity,WF2,3,0.08821306111887683,0.798126548636255,4,5,6,5
liquidity,WF2,4,0.08589616366653863,0.8840227123027936,4,5,6,5
liquidity,WF2,5,0.04968471618808642,0.9337074284908801,4,5,6,5
liquidity,WF2,6,0.03241356223601118,0.9661209907268913,4,5,6,5
liquidity,WF2,7,0.026738871329707526,0.9928598620565988,4,5,6,5
liquidity,WF2,8,0.003937089779180973,0.9967969518357798,4,5,6,5
liquidity,WF3,1,0.36109725045430785,0.36109725045430785,3,5,6,5
liquidity,WF3,2,0.350782028742309,0.7118792791966169,3,5,6,5
liquidity,WF3,3,0.08971863875860887,0.8015979179552257,3,5,6,5
liquidity,WF3,4,0.08449554838354786,0.8860934663387736,3,5,6,5
liquidity,WF3,5,0.049071724871790845,0.9351651912105645,3,5,6,5
liquidity,WF3,6,0.03178376295915124,0.9669489541697157,3,5,6,5
liquidity,WF3,7,0.02606578323372597,0.9930147374034417,3,5,6,5
liquidity,WF3,8,0.0038492352875543847,0.9968639726909961,3,5,6,5
